SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
RU000A0ZYL89,RU000A0ZYL89,ДОМРФИА 04,AAA,0.0,16.0,2042-04-28,44.25,157.5,69.69,71.08,1.39,9.807,0.0,6.23
RU000A0ZYLG5,RU000A0ZYLG5,Роснфт2P3,AAA,0.0,1.62,2027-12-09,1000,101.73,1017.3,1065.22,47.92,14.95,14.16,14.7
RU000A0ZYLK7,RU000A0ZYLK7,ВЦЗ 1P1R,Нет данных,,1.62,2027-12-10,1000,88.04,880.4,882.8,2.4,0.75,23.14,0.85
RU000A0ZYLU6,RU000A0ZYLU6,ДОМ.РФ1P1R,AAA,0.0,1.63,2027-12-13,1000,100.14,1001.4,1049.48,48.08,15.0,14.61,14.98
RU000A0ZYLX0,RU000A0ZYLX0,ДОМРФИА 03,AAA,0.0,11.5,2037-10-28,58.18,141.87,82.54,84.28,1.74,9.341,0.0,6.58
RU000A0ZYM54,RU000A0ZYM54,ЦППК П1Б1,BBB+,7.0,1.63,2027-12-15,1000,,,,24.2,7.55,0.0,
RU000A0ZYMM1,RU000A0ZYMM1,ВертолетБ4,Нет данных,,1.64,2027-12-16,1000,166.51,1665.1,1693.31,28.21,8.8,-36.31,5.28
RU000A0ZYMN9,RU000A0ZYMN9,ВертолетБ3,Нет данных,,1.64,2027-12-16,1000,98.01,980.1,1008.31,28.21,8.8,10.39,8.98
RU000A0ZYNY4,RU000A0ZYNY4,ГТЛК 1P-07,AA-,3.0,6.68,2032-12-31,1000,96.61,966.1,1003.6,37.5,11.7,17.93,12.11
RU000A0ZYQU5,RU000A0ZYQU5,ДОМ.РФ1P2R,AAA,0.0,1.74,2028-01-21,1000,101.49,1014.9,1064.42,49.52,15.45,9.39,15.22
RU000A0ZYQY7,RU000A0ZYQY7,СистемБ1P7,AA-,3.0,1.74,2028-01-21,1000,100.28,1002.8,1065.31,62.51,19.5,18.73,19.45
RU000A0ZYR91,RU000A0ZYR91,ГТЛК 1P-08,AA-,3.0,6.73,2033-01-18,1000,93.88,938.8,975.09,36.29,11.32,17.93,12.06
RU000A0ZYT40,RU000A0ZYT40,Роснфт2P4,AAA,0.0,1.77,2028-02-03,1000,95.73,957.3,982.94,25.64,8.0,14.36,8.36
RU000A0ZYU05,RU000A0ZYU05,РЖД 1Р-05R,AAA,0.0,6.77,2033-02-01,1000,101.1,1011.0,1060.04,49.04,15.3,14.18,15.13
RU000A0ZYU21,RU000A0ZYU21,АЛЬФА БО40,BBB,8.0,6.85,2033-03-04,1000,99.84,998.4,1040.71,42.31,13.2,13.79,13.22
RU000A0ZYU54,RU000A0ZYU54,Сферфин1P1,Нет данных,,6.77,2033-02-02,1000,96.95,969.5,1017.58,48.08,15.0,27.35,15.47
RU000A0ZYVU5,RU000A0ZYVU5,Роснфт2P5,AAA,0.0,1.81,2028-02-18,1000,92.14,921.4,950.25,28.85,9.0,14.54,9.77
RU000A0ZYWB3,RU000A0ZYWB3,АЛЬФА БО39,BBB,8.0,6.89,2033-03-17,1000,105.36,1053.6,1112.26,58.66,18.3,14.34,17.37
RU000A0ZYWU3,RU000A0ZYWU3,Система1P8,AA-,3.0,1.83,2028-02-23,1000,94.89,948.9,987.37,38.47,12.0,15.87,12.65
RU000A0ZYWZ2,RU000A0ZYWZ2,Совком 2В3,AA,2.0,2.82,2029-02-21,100,80.6668,80.67,83.31,2.64,8.25,4.48,10.23
RU000A0ZYYE3,RU000A0ZYYE3,Ростел1P4R,AAA,0.0,1.85,2028-03-03,1000,100.05,1000.5,1045.38,44.88,14.0,14.37,13.99
RU000A0ZYYN4,RU000A0ZYYN4,RUS-29,Нет данных,,2.9,2029-03-21,200000,93.535,187070.0,189874.79,2804.79,4.375,6.84,4.68
RU000A0ZZ1J8,RU000A0ZZ1J8,ГТЛК 1P-09,AA-,3.0,6.89,2033-03-18,1000,96.47,964.7,1022.4,57.7,18.0,17.85,18.66
RU000A0ZZ1M2,RU000A0ZZ1M2,ПИК БО-П04,AA-,3.0,1.91,2028-03-24,1000,99.73,997.3,1048.59,51.29,16.0,14.0,16.04
RU000A0ZZ1N0,RU000A0ZZ1N0,ДОМ 1P-3R,AAA,0.0,1.91,2028-03-24,1000,100.72,1007.2,1053.36,46.16,14.4,12.94,14.3
RU000A0ZZ2W9,RU000A0ZZ2W9,СитиматБ2,Нет данных,,10.65,2036-12-20,1000,,,,67.32,21.0,0.0,
RU000A0ZZ4P9,RU000A0ZZ4P9,РЖД 1Р-06R,AAA,0.0,6.94,2033-04-04,1000,105.6,1056.0,1115.3,59.3,18.5,14.62,17.52
RU000A0ZZ5H3,RU000A0ZZ5H3,ПочтаРБ1P4,AA,2.0,1.99,2028-04-24,1000,102.24,1022.4,1054.13,31.73,9.9,-97.91,9.68
RU000A0ZZ5J9,RU000A0ZZ5J9,ПочтаРБ1P5,AA,2.0,1.99,2028-04-24,1000,102.31,1023.1,1054.83,31.73,9.9,-98.15,9.68
RU000A0ZZ7C0,RU000A0ZZ7C0,ДОМ 1P-4R,AAA,0.0,2.04,2028-05-10,1000,100.5,1005.0,1055.81,50.81,15.85,12.07,15.77
RU000A0ZZ7G1,RU000A0ZZ7G1,КАМАЗ БО-7,A,5.0,7.02,2033-05-05,1000,,,,48.92,15.26,0.0,
RU000A0ZZ7H9,RU000A0ZZ7H9,КАМАЗ БО-8,A,5.0,7.02,2033-05-05,1000,,,,48.92,15.26,0.0,
RU000A0ZZ877,RU000A0ZZ877,КАМАЗ БО10,A,5.0,7.04,2033-05-10,1000,83.56,835.6,885.06,49.46,15.43,17.83,18.47
RU000A0ZZ885,RU000A0ZZ885,КАМАЗ БО-9,A,5.0,7.04,2033-05-10,1000,82.59,825.9,875.36,49.46,15.43,18.13,18.68
RU000A0ZZ893,RU000A0ZZ893,КАМАЗ БО11,A,5.0,7.04,2033-05-10,1000,83.34,833.4,882.86,49.46,15.43,17.9,18.51
