SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
RU000A103TA8,RU000A103TA8,СибурХБО10,AAA,0.0,2.43,2028-10-02,1000,80.05,800.5,805.31,4.81,1.5,11.33,1.87
RU000A103TB6,RU000A103TB6,СибурХБО12,AAA,0.0,4.43,2030-10-02,1000,,,,4.81,1.5,0.0,
RU000A103TC4,RU000A103TC4,СибурХБО11,AAA,0.0,3.43,2029-10-02,1000,76.55,765.5,770.31,4.81,1.5,9.88,1.96
RU000A103TL5,RU000A103TL5,СберИОС409,AAA,0.0,0.45,2026-10-09,1000,91.7,917.0,917.03,0.03,0.01,0.0,0.01
RU000A103TN1,RU000A103TN1,СберИОС418,AAA,0.0,0.45,2026-10-09,1000,141.4,1414.0,1414.03,0.03,0.01,0.0,0.01
RU000A103TS0,RU000A103TS0,ТЕХЛиз 1P5,BB+,10.0,1.35,2027-09-03,900,87.52,787.68,820.86,33.18,11.5,27.15,13.14
RU000A103TW2,RU000A103TW2,ВТБ Б1-241,AAA,0.0,1.08,2027-05-26,1000,180.65,1806.5,1806.53,0.03,0.01,-42.26,0.01
RU000A103TX0,RU000A103TX0,ВТБ Б1-242,AAA,0.0,1.07,2027-05-24,1000,85.5,855.0,855.03,0.03,0.01,15.76,0.01
RU000A103TY8,RU000A103TY8,ВТБ Б1-243,AAA,0.0,1.16,2027-06-25,1000,84.28,842.8,842.83,0.03,0.01,16.27,0.01
RU000A103TZ5,RU000A103TZ5,ВТБ Б1-244,AAA,0.0,2.24,2028-07-24,1000,92.48,924.8,924.83,0.03,0.01,3.56,0.01
RU000A103U02,RU000A103U02,ВТБ Б1-245,AAA,0.0,0.54,2026-11-11,1000,94.86,948.6,948.63,0.03,0.01,10.28,0.01
RU000A103U10,RU000A103U10,ВТБ Б1-246,AAA,0.0,0.64,2026-12-16,1000,94.04,940.4,940.43,0.03,0.01,10.14,0.01
RU000A103U28,RU000A103U28,ВТБ Б1-247,AAA,0.0,0.71,2027-01-13,1000,96.51,965.1,965.13,0.03,0.01,0.0,0.01
RU000A103U36,RU000A103U36,ВТБ Б1-248,AAA,0.0,0.75,2027-01-27,1000,111,1110.0,1110.03,0.03,0.01,-12.97,0.01
RU000A103U44,RU000A103U44,ВТБ Б1-249,AAA,0.0,0.79,2027-02-10,1000,154.86,1548.6,1548.63,0.03,0.01,-42.55,0.01
RU000A103U51,RU000A103U51,ВТБ Б1-250,AAA,0.0,2.36,2028-09-06,1000,99.84,998.4,998.43,0.03,0.01,-3.89,0.01
RU000A103U69,RU000A103U69,МоторТ1Р03,BB-,12.0,0.42,2026-09-29,250,95.27,238.18,247.6,9.42,11.75,32.27,12.33
RU000A103UL3,RU000A103UL3,ТатнхимP01,BB+,10.0,0.39,2026-09-15,1000,101.42,1014.2,1083.12,68.92,21.5,17.75,21.2
RU000A103UP4,RU000A103UP4,СберИОС476,AAA,0.0,0.52,2026-11-02,1000,88.6,886.0,886.03,0.03,0.01,0.0,0.01
RU000A103UQ2,RU000A103UQ2,СберИОС477,AAA,0.0,0.49,2026-10-23,1000,142.1,1421.0,1421.03,0.03,0.01,0.0,0.01
RU000A103UR0,RU000A103UR0,СберИОС478,AAA,0.0,0.49,2026-10-23,1000,92.5,925.0,925.03,0.03,0.01,0.0,0.01
RU000A103VD8,RU000A103VD8,МСБЛиз2P05,BBB-,9.0,0.39,2026-09-18,138.82,98.9,137.29,142.74,5.45,12.25,18.69,12.39
RU000A103VP2,RU000A103VP2,СберИОС479,AAA,0.0,0.52,2026-11-03,1000,92.7,927.0,927.03,0.03,0.01,0.0,0.01
RU000A103VQ0,RU000A103VQ0,СберИОС480,AAA,0.0,2.52,2028-11-02,1000,81.37,813.7,813.73,0.03,0.01,0.0,0.01
RU000A103W42,RU000A103W42,ИАДОМ 1P10,AAA,0.0,5.25,2031-07-28,498.28,,,,11.18,7.0,0.0,
RU000A103WB0,RU000A103WB0,СлавЭКО1Р1,BBB-,9.0,0.46,2026-10-13,1000,96.29,962.9,998.16,35.26,11.0,21.09,11.42
RU000A103WM7,RU000A103WM7,ТрансФ1P08,A,5.0,5.45,2031-10-09,1000,,,,57.7,18.0,0.0,
RU000A103X90,RU000A103X90,СберИОС481,AAA,0.0,0.58,2026-11-24,1000,91.4,914.0,914.03,0.03,0.01,0.0,0.01
RU000A103XD4,RU000A103XD4,СФО МО 01,AA,2.0,0.55,2026-11-15,100000,,,,2564.38,8.0,0.0,
RU000A103XS2,RU000A103XS2,ВТБ Б1-254,AAA,0.0,2.13,2028-06-14,1000,75.73,757.3,757.33,0.03,0.01,13.94,0.01
RU000A103XT0,RU000A103XT0,ВТБ Б1-255,AAA,0.0,0.71,2027-01-11,1000,102.9,1029.0,1029.03,0.03,0.01,-3.95,0.01
RU000A103XW4,RU000A103XW4,ВТБ Б1-258,AAA,0.0,0.75,2027-01-26,1000,91.05,910.5,910.53,0.03,0.01,0.0,0.01
RU000A103Y16,RU000A103Y16,СберИОС482,AAA,0.0,0.57,2026-11-23,1000,91.4,914.0,914.03,0.03,0.01,0.0,0.01
RU000A103Y40,RU000A103Y40,СберИОС484,AAA,0.0,0.55,2026-11-13,1000,145,1450.0,1450.03,0.03,0.01,0.0,0.01
RU000A103Y57,RU000A103Y57,СберИОС485,AAA,0.0,0.55,2026-11-13,1000,91.41,914.1,914.13,0.03,0.01,0.0,0.01
RU000A103YG5,RU000A103YG5,ИАДОМ 1P11,AAA,0.0,5.5,2031-10-28,489.94,84.11,412.09,422.77,10.68,6.8,0.0,8.08
RU000A103YK7,RU000A103YK7,ИАДОМ 1P12,AAA,0.0,5.34,2031-08-28,431.43,80.57,347.6,355.21,7.61,5.5,0.0,6.83
RU000A103YV4,RU000A103YV4,Сбер Sb36R,AAA,0.0,0.08,2026-05-27,1000,,,,29.97,9.35,0.0,
RU000A103ZJ6,RU000A103ZJ6,СберИОС486,AAA,0.0,2.6,2028-11-30,1000,78.99,789.9,789.93,0.03,0.01,0.0,0.01
RU000A104081,RU000A104081,ВТБ Б1-269,AAA,0.0,0.81,2027-02-16,1000,92,920.0,920.03,0.03,0.01,0.0,0.01
RU000A1040E8,RU000A1040E8,ЦифрБро1П2,BBB,8.0,0.53,2026-11-06,1000,98.4675,984.68,1002.31,17.63,5.5,7.93,5.59
RU000A1040S8,RU000A1040S8,Ульоб34004,BBB,8.0,0.54,2026-11-10,300,97.81,293.43,302.61,9.18,9.55,14.58,9.76
RU000A1040T6,RU000A1040T6,СберИОС488,AAA,0.0,0.61,2026-12-07,1000,91.3,913.0,913.03,0.03,0.01,0.0,0.01
RU000A1040U4,RU000A1040U4,СберИОС489,AAA,0.0,0.61,2026-12-07,1000,108,1080.0,1080.03,0.03,0.01,0.0,0.01
RU000A1041B2,RU000A1041B2,Сегежа2P1R,BB-,12.0,10.51,2036-10-29,1000,89.13,891.3,922.87,31.57,9.85,35.56,11.05
RU000A1041M9,RU000A1041M9,СберИОС490,AAA,0.0,0.59,2026-11-27,1000,153.4,1534.0,1534.03,0.03,0.01,0.0,0.01
RU000A1041N7,RU000A1041N7,СберИОС491,AAA,0.0,0.59,2026-11-27,1000,90.74,907.4,907.43,0.03,0.01,0.0,0.01
RU000A1041Q0,RU000A1041Q0,ИАДОМ 1P13,AAA,0.0,5.5,2031-10-28,487.44,98.07,478.03,503.26,25.23,16.15,0.0,16.47
RU000A1042W6,RU000A1042W6,ВЭБP-31,AAA,0.0,2.48,2028-10-18,1000,99.32,993.2,993.2,0.0,,14.89,0.0
RU000A104362,RU000A104362,ВСК 1P-02R,AA-,3.0,0.56,2026-11-17,1000,97.28,972.8,1003.41,30.61,9.55,15.34,9.82
RU000A1043E2,RU000A1043E2,Новосиб 22,AA,2.0,2.55,2028-11-14,800,94.05,752.4,775.56,23.16,9.03,13.98,9.6
RU000A1043G7,RU000A1043G7,Сегежа2P2R,BB-,12.0,10.52,2036-11-04,1000,,,,31.09,9.7,0.0,
RU000A1043H5,RU000A1043H5,СберИОС492,AAA,0.0,0.59,2026-11-27,1000,91.3,913.0,913.03,0.03,0.01,0.0,0.01
RU000A1043J1,RU000A1043J1,Славнеф2Р3,AA,2.0,5.54,2031-11-11,1000,,,,53.37,16.65,0.0,
RU000A1043K9,RU000A1043K9,НижгорОб16,A+,4.0,1.08,2027-05-26,700,95.99,671.93,692.69,20.76,9.25,14.68,9.64
RU000A1043P8,RU000A1043P8,ВТБ Б1-274,AAA,0.0,1.86,2028-03-08,1000,78.58,785.8,785.83,0.03,0.01,13.82,0.01
RU000A1043Q6,RU000A1043Q6,ВТБ Б1-270,AAA,0.0,0.82,2027-02-20,1000,100,1000.0,1000.03,0.03,0.01,0.0,0.01
RU000A1043R4,RU000A1043R4,ВТБ Б1-271,AAA,0.0,0.84,2027-03-01,1000,93.43,934.3,934.33,0.03,0.01,0.0,0.01
RU000A1043S2,RU000A1043S2,ВТБ Б1-272,AAA,0.0,0.86,2027-03-06,1000,100,1000.0,1000.03,0.03,0.01,0.0,0.01
RU000A1043T0,RU000A1043T0,ВТБ Б1-273,AAA,0.0,0.87,2027-03-10,1000,97.04,970.4,970.43,0.03,0.01,0.0,0.01
RU000A1043Z7,RU000A1043Z7,БинФарм1P1,A,5.0,10.53,2036-11-05,1000,99.76,997.6,1045.68,48.08,15.0,19.46,15.04
RU000A1044V4,RU000A1044V4,СберИОС498,AAA,0.0,2.67,2028-12-28,1000,72.3,723.0,723.03,0.03,0.01,0.0,0.01
RU000A1044W2,RU000A1044W2,СберИОС497,AAA,0.0,0.65,2026-12-22,1000,90.13,901.3,901.33,0.03,0.01,0.0,0.01
RU000A1044X0,RU000A1044X0,СберИОС496,AAA,0.0,0.62,2026-12-11,1000,91.2,912.0,912.03,0.03,0.01,0.0,0.01
RU000A1044Y8,RU000A1044Y8,СберИОС495,AAA,0.0,0.62,2026-12-11,1000,90.9,909.0,909.03,0.03,0.01,0.0,0.01
RU000A104511,RU000A104511,ИАДОМ 1P14,AAA,0.0,5.59,2031-11-28,451.24,89,401.6,401.6,0.0,,0.0,0.0
RU000A1045F4,RU000A1045F4,СберИОС493,AAA,0.0,0.65,2026-12-21,1000,90.8,908.0,908.03,0.03,0.01,0.0,0.01
RU000A104693,RU000A104693,Систем1P23,AA-,3.0,5.57,2031-11-21,1000,100.37,1003.7,1059.8,56.1,17.5,18.12,17.44
RU000A1047L8,RU000A1047L8,СберИОС503,AAA,0.0,0.71,2027-01-12,1000,88.3,883.0,883.03,0.03,0.01,0.0,0.01
RU000A1047M6,RU000A1047M6,СберИОС502,AAA,0.0,0.66,2026-12-25,1000,92.7,927.0,927.03,0.03,0.01,0.0,0.01
RU000A1047N4,RU000A1047N4,СберИОС501,AAA,0.0,0.66,2026-12-25,1000,156.41,1564.1,1564.13,0.03,0.01,0.0,0.01
RU000A1047P9,RU000A1047P9,СберИОС500,AAA,0.0,0.68,2026-12-30,1000,85.2,852.0,852.03,0.03,0.01,0.0,0.01
RU000A1049R1,RU000A1049R1,СберИОС507,AAA,0.0,0.74,2027-01-21,1000,83,830.0,830.03,0.03,0.01,0.0,0.01
RU000A104A05,RU000A104A05,Интерскол1,BB+,10.0,0.62,2026-12-10,1000,95.51,955.1,998.37,43.27,13.5,23.18,14.13
RU000A104A39,RU000A104A39,sКапиталР1,AA-,3.0,0.62,2026-12-11,1000,97.01,970.1,1002.96,32.86,10.25,16.01,10.57
RU000A104A96,RU000A104A96,СберИОС504,AAA,0.0,0.75,2027-01-26,1000,87.9,879.0,879.03,0.03,0.01,0.0,0.01
RU000A104AF5,RU000A104AF5,СберИОС506,AAA,0.0,0.72,2027-01-15,1000,89.7,897.0,897.03,0.03,0.01,0.0,0.01
RU000A104AH1,RU000A104AH1,СберИОС510,AAA,0.0,0.74,2027-01-22,1000,92.5,925.0,925.03,0.03,0.01,0.0,0.01
RU000A104AM1,RU000A104AM1,ИАДОМ 1P17,AAA,0.0,5.59,2031-11-28,472.63,86.25,407.64,417.94,10.3,6.8,0.0,7.88
RU000A104B04,RU000A104B04,Петснаб1Р1,BB-,12.0,0.58,2026-11-26,188,98.99,186.1,194.08,7.98,13.25,18.18,13.39
RU000A104B46,RU000A104B46,ГПБ001P21P,AA+,1.0,5.67,2031-12-27,1000,105.3,1053.0,1105.09,52.09,16.25,14.6,15.43
RU000A104B79,RU000A104B79,ИАДОМ 1P16,AAA,0.0,5.59,2031-11-28,465.2,93.86,436.64,448.05,11.41,7.65,0.0,8.15
RU000A104BC0,RU000A104BC0,КалинОбл21,A+,4.0,2.63,2028-12-14,750,96.17,721.28,744.12,22.84,9.5,12.71,9.88
RU000A104BY4,RU000A104BY4,БНТЛ 1Р2,Нет данных,,0.64,2026-12-18,375,,,,12.98,10.8,0.0,
RU000A104C45,RU000A104C45,ИАДОМ 1P15,AAA,0.0,5.42,2031-09-28,528.12,,,,13.26,7.83,0.0,
RU000A104CF1,RU000A104CF1,СолЛиз01,B+,13.0,0.65,2026-12-22,250,100.58,251.45,272.29,20.84,26.0,24.15,25.85
RU000A104CR6,RU000A104CR6,СберИОС511,AAA,0.0,0.77,2027-02-04,1000,88.3,883.0,883.03,0.03,0.01,0.0,0.01
RU000A104CS4,RU000A104CS4,СберИОС513,AAA,0.0,2.77,2029-02-01,1000,72.01,720.1,720.13,0.03,0.01,0.0,0.01
RU000A104CY2,RU000A104CY2,СберИОС509,AAA,0.0,0.77,2027-02-03,1000,170.2,1702.0,1702.03,0.03,0.01,0.0,0.01
RU000A104CZ9,RU000A104CZ9,СберИОС512,AAA,0.0,0.74,2027-01-22,1000,116.1,1161.0,1161.03,0.03,0.01,0.0,0.01
RU000A104DE2,RU000A104DE2,ВТБ Б1-295,AAA,0.0,0.66,2026-12-25,1000,99,990.0,990.03,0.03,0.01,0.0,0.01
RU000A104DG7,RU000A104DG7,ВТБ Б1-296,AAA,0.0,0.79,2027-02-09,1000,88.5,885.0,885.03,0.03,0.01,0.0,0.01
RU000A104DJ1,RU000A104DJ1,ВТБ Б1-298,AAA,0.0,0.31,2026-08-20,1000,102.01,1020.1,1020.13,0.03,0.01,0.0,0.01
RU000A104DK9,RU000A104DK9,ВТБ Б1-299,AAA,0.0,0.81,2027-02-18,1000,93.51,935.1,935.13,0.03,0.01,0.0,0.01
RU000A104DL7,RU000A104DL7,ВТБ Б1-300,AAA,0.0,0.83,2027-02-24,1000,99.99,999.9,999.93,0.03,0.01,0.0,0.01
RU000A104DN3,RU000A104DN3,ВТБ Б1-302,AAA,0.0,0.87,2027-03-09,1000,90.21,902.1,902.13,0.03,0.01,0.0,0.01
RU000A104DP8,RU000A104DP8,ВТБ Б1-303,AAA,0.0,0.9,2027-03-23,1000,91.31,913.1,913.13,0.03,0.01,0.0,0.01
RU000A104DQ6,RU000A104DQ6,ВТБ Б1-304,AAA,0.0,0.89,2027-03-19,1000,85,850.0,850.03,0.03,0.01,0.0,0.01
RU000A104DR4,RU000A104DR4,ВТБ Б1-305,AAA,0.0,0.42,2026-09-29,1000,93,930.0,930.03,0.03,0.01,0.0,0.01
RU000A104DZ7,RU000A104DZ7,СНХТ БО-02,B,14.0,0.65,2026-12-19,1000,93.81,938.1,1007.02,68.92,21.5,44.81,22.92
RU000A104EP6,RU000A104EP6,НЗРМ БО-01,Нет данных,,0.65,2026-12-22,400,95.41,381.64,401.83,20.19,15.75,28.67,16.51
RU000A104ES0,RU000A104ES0,СберИОС514,AAA,0.0,0.74,2027-01-22,1000,180.5,1805.0,1805.03,0.03,0.01,0.0,0.01
RU000A104FG2,RU000A104FG2,Сегежа2P3R,BB-,12.0,10.7,2037-01-07,1000,96.24,962.4,1037.73,75.33,23.5,30.06,24.42
RU000A104FK4,RU000A104FK4,СберИОС516,AAA,0.0,0.8,2027-02-12,1000,112.8,1128.0,1128.03,0.03,0.01,0.0,0.01
RU000A104FL2,RU000A104FL2,СберИОС515,AAA,0.0,0.84,2027-02-26,1000,95.2,952.0,952.03,0.03,0.01,0.0,0.01
RU000A104H08,RU000A104H08,СберИОС522,AAA,0.0,1.31,2027-08-17,1000,85.9,859.0,859.03,0.03,0.01,0.0,0.01
RU000A104JQ3,RU000A104JQ3,СамолетP11,A-,6.0,1.79,2028-02-08,1000,97.8,978.0,1061.34,83.34,26.0,31.1,26.58
RU000A104JX9,RU000A104JX9,СберИОС527,AAA,0.0,1.23,2027-07-22,1000,89.99,899.9,899.93,0.03,0.01,0.0,0.01
RU000A104JY7,RU000A104JY7,СберИОС524,AAA,0.0,1.14,2027-06-18,1000,98.44,984.4,984.43,0.03,0.01,0.0,0.01
RU000A104KE7,RU000A104KE7,СберИОС528,AAA,0.0,1.11,2027-06-08,1000,94.3,943.0,943.03,0.03,0.01,0.0,0.01
RU000A104KK4,RU000A104KK4,СберИОС525,AAA,0.0,1.16,2027-06-24,1000,85.99,859.9,859.93,0.03,0.01,0.0,0.01
RU000A104KL2,RU000A104KL2,СберИОС526,AAA,0.0,1.18,2027-07-01,1000,86,860.0,860.03,0.03,0.01,0.0,0.01
RU000A104KX7,RU000A104KX7,СберИОС523,AAA,0.0,1.16,2027-06-25,1000,145,1450.0,1450.03,0.03,0.01,0.0,0.01
RU000A104KY5,RU000A104KY5,СберИОС529,AAA,0.0,1.1,2027-06-03,1000,103.1,1031.0,1031.03,0.03,0.01,0.0,0.01
RU000A104KZ2,RU000A104KZ2,СберИОС530,AAA,0.0,1.29,2027-08-11,1000,91.8,918.0,918.03,0.03,0.01,0.0,0.01
RU000A104QM7,RU000A104QM7,СберСIB200,AAA,0.0,0.05,2026-05-15,1000,64.5,645.0,645.03,0.03,0.01,0.0,0.02
RU000A104QQ8,RU000A104QQ8,СберCIB201,AAA,0.0,0.16,2026-06-26,1000,71.69,716.9,716.93,0.03,0.01,0.0,0.01
RU000A104SU6,RU000A104SU6,МТС 1P-20,AAA,0.0,0.01,2026-05-01,1000,99.88,998.8,1036.46,37.66,11.75,29.12,11.76
RU000A104SX0,RU000A104SX0,РЖД 1Р-24R,AAA,0.0,1.01,2027-04-30,1000,99.04,990.4,1028.45,38.05,11.87,13.33,11.99
RU000A104SY8,RU000A104SY8,РЖД 1Р-25R,AAA,0.0,1.01,2027-04-30,1000,,,,38.05,11.87,0.0,
RU000A104TD0,RU000A104TD0,Ростел2P7R,AAA,0.0,0.03,2026-05-08,1000,100,1000.0,1037.66,37.66,11.75,12.08,11.75
RU000A104TQ2,RU000A104TQ2,ЕАБР 1P-08,AAA,0.0,2.59,2028-11-27,1000,103.06,1030.6,1067.46,36.86,11.5,6.23,11.16
RU000A104UA4,RU000A104UA4,Сегежа2P4R,BB-,12.0,11.04,2037-05-11,1000,97.4,974.0,1005.57,31.57,9.85,51.06,10.11
RU000A104US6,RU000A104US6,iУОМЗ Б-4,A-,6.0,6.07,2032-05-21,1000,,,,0.0,,0.0,
RU000A104UV0,RU000A104UV0,ИАДОМ 1P18,AAA,0.0,6.09,2032-05-28,601.93,96.57,581.28,611.96,30.68,15.9,0.0,16.46
RU000A104V00,RU000A104V00,ПионЛизБР5,B,14.0,5.97,2032-04-15,1000,85.48,854.8,930.55,75.75,23.63,32.36,27.64
RU000A104V26,RU000A104V26,РЕСОЛиз2П1,AA-,3.0,0.1,2026-06-02,1000,100.14,1001.4,1001.4,0.0,,15.61,0.0
RU000A104V75,RU000A104V75,ПочтаР2P01,AA,2.0,6.08,2032-05-26,1000,94.77,947.7,984.24,36.54,11.4,17.43,12.03
RU000A104VD6,RU000A104VD6,СФО СФ 01,Нет данных,,1.21,2027-07-13,1,,,,0.03,10.0,0.0,
RU000A104W17,RU000A104W17,ПочтаР2P02,AA,2.0,6.12,2032-06-08,1000,99.28,992.8,1025.34,32.54,10.15,15.78,10.22
RU000A104W33,RU000A104W33,ПочтаР2P03,AA,2.0,6.12,2032-06-08,1000,88.47,884.7,917.24,32.54,10.15,17.47,11.47
RU000A104WF9,RU000A104WF9,Славнеф2Р4,AA,2.0,6.12,2032-06-11,1000,107,1070.0,1127.7,57.7,18.0,13.88,16.82
RU000A104WJ1,RU000A104WJ1,МТС 1P-21,AAA,0.0,0.15,2026-06-22,1000,99.26,992.6,1023.53,30.93,9.65,15.46,9.72
RU000A104WZ7,RU000A104WZ7,ЭлАп БО-01,BB-,12.0,0.16,2026-06-25,1000,100.45,1004.5,1084.64,80.14,25.0,23.64,24.89
RU000A104X32,RU000A104X32,sИАДОМ1P19,AAA,0.0,6.17,2032-06-28,602.99,99.63,600.76,631.98,31.22,16.15,0.0,16.21
RU000A104XE0,RU000A104XE0,ЛТрейд 1P4,BBB-,9.0,1.12,2027-06-09,1000,92.37,923.7,971.78,48.08,15.0,25.36,16.24
RU000A104XJ9,RU000A104XJ9,МГКЛ 1P1,BB-,12.0,0.67,2026-12-29,1000,99.88,998.8,1075.73,76.93,24.0,24.74,24.03
RU000A104XR2,RU000A104XR2,Автодор3Р2,AA,2.0,1.18,2027-07-01,1000,96.18,961.8,995.94,34.14,10.65,14.78,11.07
RU000A104Y15,RU000A104Y15,НоваБевБП5,AA,2.0,1.19,2027-07-06,1000,97.54,975.4,1010.18,34.78,10.85,14.64,11.12
RU000A104Y31,RU000A104Y31,СберИОС408,AAA,0.0,1.27,2027-08-04,1000,89.7,897.0,897.03,0.03,0.01,0.0,0.01
RU000A104Z48,RU000A104Z48,sВЭБ2P-33,AAA,0.0,1.22,2027-07-15,1000,96.24,962.4,995.1,32.7,10.2,14.09,10.6
RU000A104Z63,RU000A104Z63,ВЭБ1P-32,AAA,0.0,1.72,2028-01-14,1000,,,,32.7,10.2,0.0,
RU000A104Z71,RU000A104Z71,БинФарм1P2,A,5.0,11.18,2037-07-02,1000,99.14,991.4,1039.48,48.08,15.0,18.0,15.13
RU000A104ZU1,RU000A104ZU1,Шевченк1Р4,BB+,10.0,0.24,2026-07-23,250,96.42,241.05,241.06,0.01,0.01,16.75,0.01
RU000A105054,RU000A105054,ММЦБ П01-2,BBB-,9.0,0.75,2027-01-26,1000,97.39,973.9,1018.78,44.88,14.0,18.56,14.38
RU000A1050G2,RU000A1050G2,CIB-СО-319,AAA,0.0,1.25,2027-07-26,1000,,,,0.03,0.01,0.0,
RU000A1050V1,RU000A1050V1,СберСIB274,AAA,0.0,1.84,2028-02-29,1000,131.4,1314.0,1314.03,0.03,0.01,0.0,0.01
RU000A105104,RU000A105104,РУСАЛ БО05,A+,4.0,1.25,2027-07-28,1000,100.0998,1001.0,1026.64,25.64,8.0,7.69,7.99
RU000A105112,RU000A105112,РУСАЛ БО06,A+,4.0,1.25,2027-07-28,1000,100.9678,1009.68,1035.32,25.64,8.0,4.31,7.92
RU000A105146,RU000A105146,ПИК К 1P5,AA-,3.0,0.56,2026-11-19,1000,99,990.0,1008.03,18.03,5.625,7.6,5.68
RU000A105179,RU000A105179,СберИОС533,AAA,0.0,1.33,2027-08-27,1000,101.6,1016.0,1016.03,0.03,0.01,0.0,0.01
RU000A1052C7,RU000A1052C7,СовкомТ2-1,AA,2.0,4.75,2031-01-27,200000,75,150000.0,154167.12,4167.12,6.5,14.32,8.67
RU000A105344,RU000A105344,ИАДОМ 1P20,AAA,0.0,6.17,2032-06-28,520.92,85.06,443.09,443.09,0.0,,0.0,0.0
RU000A1053H4,RU000A1053H4,ЛТрейд 1P5,BBB-,9.0,1.23,2027-07-22,1000,91.26,912.6,960.68,48.08,15.0,25.86,16.44
RU000A1053P7,RU000A1053P7,Сегежа2P5R,BB-,12.0,11.26,2037-07-30,1000,94.75,947.5,1027.64,80.14,25.0,30.87,26.39
RU000A105492,RU000A105492,ЭНИКА 1Р03,BBB,8.0,1.31,2027-08-17,500,92.18,460.9,481.74,20.84,13.0,26.65,14.1
RU000A1054W1,RU000A1054W1,Полюс Б1P2,AAA,0.0,1.33,2027-08-24,1000,96.1758,961.76,973.94,12.18,3.8,6.99,3.95
RU000A1054X9,RU000A1054X9,СберИОС536,AAA,0.0,1.37,2027-09-10,1000,96.7,967.0,967.03,0.03,0.01,0.0,0.01
RU000A105559,RU000A105559,ФСК РС1Р6,AAA,0.0,6.31,2032-08-18,1000,98.53,985.3,1013.19,27.89,8.7,13.8,8.83
RU000A105591,RU000A105591,НКК 13,A,5.0,26.35,2052-08-31,1365.48,,,,17.51,4.0,0.0,
RU000A1055Y4,RU000A1055Y4,ПочтаР2P04,AA,2.0,6.33,2032-08-25,1000,91.35,913.5,943.15,29.65,9.25,17.28,10.13
RU000A1056S4,RU000A1056S4,ФСК РС Б5,AAA,0.0,31.29,2057-08-10,1000,98.24,982.4,1009.65,27.25,8.5,13.59,8.65
RU000A1056T2,RU000A1056T2,ЦР БО-02,C,,0.33,2026-08-25,500,96.5,482.5,511.35,28.85,18.0,34.93,18.65
RU000A1056U0,RU000A1056U0,ГазКЗ-27Д,AAA,0.0,0.9,2027-03-23,1000,98.1938,981.94,997.81,15.87,4.95,7.08,5.04
RU000A1057B8,RU000A1057B8,ЕАБР П3-03,AAA,0.0,3.38,2029-09-14,1000,95.5,955.0,967.02,12.02,3.75,16.76,3.93
RU000A1057D4,RU000A1057D4,МЕТАЛИН1P2,AA+,1.0,1.37,2027-09-10,1000,97.848,978.48,990.34,11.86,3.7,5.44,3.78
RU000A1057P8,RU000A1057P8,РусГидрБП6,AAA,0.0,0.39,2026-09-15,1000,97.65,976.5,1003.75,27.25,8.5,15.52,8.7
RU000A1057S2,RU000A1057S2,Роснфт2P12,AAA,0.0,6.37,2032-09-07,1000,100.001,1000.01,1020.85,20.84,6.5,3.41,6.5
RU000A105898,RU000A105898,ИАДОМ 1P21,AAA,0.0,6.25,2032-07-28,626.44,85.99,538.68,555.15,16.47,8.2,0.0,9.54
RU000A1058R2,RU000A1058R2,ИАДОМ 1P22,AAA,0.0,6.42,2032-09-28,665.85,99,659.19,693.55,34.36,16.1,0.0,16.26
RU000A1059N9,RU000A1059N9,ЛУКОЙЛ 26,AAA,0.0,0.52,2026-11-02,1000,99.3874,993.87,1009.1,15.23,4.75,6.49,4.78
RU000A1059P4,RU000A1059P4,ЛУКОЙЛ 27,AAA,0.0,1.0,2027-04-26,1000,95.6,956.0,964.98,8.98,2.8,7.5,2.93
RU000A1059Q2,RU000A1059Q2,ЛУКОЙЛ 30,AAA,0.0,4.02,2030-05-06,1000,89.4866,894.87,907.29,12.42,3.875,6.93,4.33
RU000A1059R0,RU000A1059R0,ЛУКОЙЛ 31,AAA,0.0,5.5,2031-10-26,1000,84.895,848.95,860.49,11.54,3.6,7.07,4.24
RU000A105A04,RU000A105A04,МЕТАЛИН028,AA+,1.0,2.49,2028-10-22,1000,89.6764,896.76,907.58,10.82,3.375,8.19,3.76
RU000A105A87,RU000A105A87,СКФ ЗО2028,AAA,0.0,2.0,2028-04-26,1000,92.9531,929.53,941.87,12.34,3.85,7.87,4.14
RU000A105A95,RU000A105A95,ГазКЗ-34Д,AAA,0.0,8.0,2034-04-28,1000,106.5236,1065.24,1092.89,27.65,8.625,7.55,8.1
RU000A105AV9,RU000A105AV9,ИАДОМ 1P23,AAA,0.0,6.42,2032-09-28,633.5,83.71,530.3,546.55,16.25,8.0,0.0,9.56
RU000A105BY1,RU000A105BY1,ГазКЗ-28Е,AAA,0.0,2.56,2028-11-17,1000,87.41,874.1,880.03,5.93,1.85,7.42,2.12
RU000A105BZ8,RU000A105BZ8,Альта,Нет данных,,1.64,2027-12-16,117.86,,,,3.78,10.0,0.0,
RU000A105CB7,RU000A105CB7,ИАДОМ 1P24,AAA,0.0,6.42,2032-09-28,615.73,,,,15.49,7.85,0.0,
